id_passenger,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Segment
51c243c598,106,1,2.25,4,4,4,444,Lost Cheap Passenger
51c2acc06c,98,2,5.73999989032745,4,4,4,444,Lost Cheap Passenger
51c89f2fae,93,3,9.10999965667724,3,3,3,333,Other
51ced53c43,89,52,183.9699964523315,2,1,1,211,Loyal Passenger
51cf205f73,107,3,7.36999988555908,4,3,4,434,Other
51da0241bd,86,18,77.58999919891357,1,1,1,111,Best Passenger
51e3e8a6d6,91,1,1.12000000476837,3,4,4,344,Other
51e4039a01,89,32,169.65999794006342,2,1,1,211,Loyal Passenger
51e5599be3,86,3,7.7399997711181605,1,3,4,134,Recent Passenger
51e73f8824,88,3,8.0,2,3,4,234,Other
51e87a2ebc,88,19,62.43999874591826,2,1,1,211,Loyal Passenger
51f368c7c2,95,6,18.239999771118157,3,3,3,333,Other
5202a0dfb5,90,12,39.969999313354485,2,2,2,222,Other
5209d732c1,89,7,25.979999542236317,2,2,2,222,Other
5210db043d,87,15,37.36999988555908,1,1,2,112,Recent Passenger
52156506b5,89,28,90.43999874591825,2,1,1,211,Loyal Passenger
5228145c7d,89,12,47.359999656677246,2,2,1,221,Big Spenders
522a8cd481,88,13,38.96999931335448,2,2,2,222,Other
522ac59998,96,6,31.98999977111816,3,3,2,332,Other
522c9ce72a,94,2,4.23999977111816,3,4,4,344,Other
5232a4f2bc,86,10,33.08999919891357,1,2,2,122,Recent Passenger
524dc9b5a0,95,3,15.35999965667724,3,3,3,333,Other
5254022eb7,101,5,16.23999977111816,4,3,3,433,Other
52634b7a0a,88,11,38.70999908447264,2,2,2,222,Other
526db1f37d,89,13,40.34999966621398,2,2,2,222,Other
526fdb1fca,87,7,20.48999977111816,1,2,2,122,Recent Passenger
527b7fe468,100,4,24.359999656677235,4,3,2,432,Other
527b9438e9,103,2,7.11999988555908,4,4,4,444,Lost Cheap Passenger
528f425f84,86,4,12.86999988555908,1,3,3,133,Recent Passenger
5290f35853,88,34,111.69999897480008,2,1,1,211,Loyal Passenger
529171198b,86,4,12.10999965667724,1,3,3,133,Recent Passenger
529b5ff094,89,16,38.96999990940093,2,1,2,212,Loyal Passenger
529d263e31,96,1,1.75,3,4,4,344,Other
52ab1b0309,88,1,1.75,2,4,4,244,Other
52aebf677a,88,1,6.369999885559079,2,4,4,244,Other
52b3e25fe6,110,1,2.61999988555908,4,4,4,444,Lost Cheap Passenger
52b92137a6,93,23,74.08999919891357,3,1,1,311,Almost Lost Passenger
52c1373ebf,86,9,24.35999965667724,1,2,2,122,Recent Passenger
52cb028c49,92,5,14.35999965667724,3,3,3,333,Other
52cf0f33e5,92,1,2.25,3,4,4,344,Other
52deb96785,89,9,21.5999994277954,2,2,2,222,Other
52efc0d7d1,86,29,77.31999874114989,1,1,1,111,Best Passenger
52f30b3d96,109,6,17.349999427795403,4,3,3,433,Other
530b54e0eb,89,3,9.73999977111816,2,3,3,233,Other
530d99c3d6,93,13,39.58999931812286,3,2,2,322,Other
5317ae302c,109,3,8.98999977111816,4,3,3,433,Other
531a227d1d,103,1,1.37000000476837,4,4,4,444,Lost Cheap Passenger
531be61e59,95,1,5.5,3,4,4,344,Other
53261b472b,96,1,1.87000000476837,3,4,4,344,Other
53267694c9,88,22,79.97999954223633,2,1,1,211,Loyal Passenger
53304b02cc,107,1,3.1199998855590803,4,4,4,444,Lost Cheap Passenger
5335e5eac2,86,9,36.58999919891356,1,2,2,122,Recent Passenger
533b2a3609,88,15,62.089999198913574,2,1,1,211,Loyal Passenger
533d5111c4,95,8,16.84999978542327,3,2,3,323,Other
53453c6757,91,20,61.06999886035918,3,1,1,311,Almost Lost Passenger
5348326ab5,89,12,31.7299997806549,2,2,2,222,Other
534d3e746a,89,44,181.30999851226807,2,1,1,211,Loyal Passenger
5351fcbbfa,90,1,7.25,2,4,4,244,Other
535ed6c9bb,88,13,40.70999908447264,2,2,2,222,Other
5360d47db6,91,10,37.97999954223632,3,2,2,322,Other
53699308b7,88,16,47.349999547004685,2,1,1,211,Loyal Passenger
53781c5bbe,86,5,10.73999977111816,1,3,3,133,Recent Passenger
538afca51c,100,5,12.359999656677239,4,3,3,433,Other
53a3a8a56e,109,2,5.23999977111816,4,4,4,444,Lost Cheap Passenger
53a48f66ed,96,3,11.619999885559078,3,3,3,333,Other
